well,analyte,scope,min_detected,min_detected_date,max_detected,max_detected_date,max_reporting_limit_nondetect,max_reporting_limit_date,n_samples_analyzed,n_nondetect,n_detect,unit,regulatory_limit,limit_type,exceedance_ratio_at_max,source_document,source_table,source_pages
MW-5,barium,per_well_all_dates,230.0,6/6/2013,410.0,10/5/2006,,,16,0,16,ug/L,1000.0,MCL,0.41,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 3,21-29 (values); 30 (footnote key); 29 (MCL row)
MW-5,lead,per_well_all_dates,0.32,4/12/2018,1.4,6/14/2006,5.0,3/12/2012,16,14,2,ug/L,15.0,Regulatory Action Level (California Department of Public Health; NOT an MCL per Table 3 footnote 3),0.093,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 3,21-29 (values); 30 (footnote key); 29 (MCL row)
MW-5,manganese,per_well_all_dates,18.0,5/17/2012,260.0,6/14/2006,50.0,3/12/2012,16,12,4,ug/L,50.0,Secondary MCL,5.2,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 3,21-29 (values); 30 (footnote key); 29 (MCL row)
MW-5,strontium,per_well_all_dates,790.0,12/12/2013,1400.0,5/17/2012,,,14,0,14,ug/L,4000.0,EPA Drinking Water Health Advisory (footnote 4; NOT an MCL),0.35,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 3,21-29 (values); 30 (footnote key); 29 (MCL row)
MW-5,nitrate_as_n,per_well_all_dates,8.3,6/14/2006,40.0,4/9/2019,,,16,0,16,mg/L,10.0,MCL (health-based),4.0,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 4,31-39 (values); 39 (MCL row)
MW-6,arsenic,per_well_all_dates,2.1,4/12/2018,6.3,7/17/2012,5.0,3/12/2012,16,2,14,ug/L,10.0,MCL,0.63,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 3,21-29 (values); 30 (footnote key); 29 (MCL row)
MW-6,barium,per_well_all_dates,76.0,6/6/2013,160.0,6/14/2006,,,18,0,18,ug/L,1000.0,MCL,0.16,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 3,21-29 (values); 30 (footnote key); 29 (MCL row)
MW-6,lead,per_well_all_dates,1.3,12/12/2013,3.4,6/14/2006,6.3,4/12/2018,16,14,2,ug/L,15.0,Regulatory Action Level (California Department of Public Health; NOT an MCL per Table 3 footnote 3),0.227,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 3,21-29 (values); 30 (footnote key); 29 (MCL row)
MW-6,manganese,per_well_all_dates,5.0,9/5/2013,190.0,6/14/2006,50.0,3/12/2012,16,3,13,ug/L,50.0,Secondary MCL,3.8,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 3,21-29 (values); 30 (footnote key); 29 (MCL row)
MW-6,strontium,per_well_all_dates,550.0,6/5/2014,1100.0,7/17/2012,,,16,0,16,ug/L,4000.0,EPA Drinking Water Health Advisory (footnote 4; NOT an MCL),0.275,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 3,21-29 (values); 30 (footnote key); 29 (MCL row)
