# Part 1: min/max computed from RAW DETECTIONS ONLY (value_type == 'detection'), grouped by (location, analyte), from the SSI Report raw CSV.
location,analyte,min_detected_mgkg,min_sample_id,min_depth_ft,max_detected_mgkg,max_sample_id,max_depth_ft,n_detections_contributing,regulatory_limit_mgkg,limit_type,exceedance_ratio_at_max,extreme_deep_barium_flag,source_document
Stockpile 2 - NORTH SIDE,Barium,65.0,FB17-4.0,4.0,4300.0,FB11-0.0,0.0,16,1000,10x STLC,4.3,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 2 - NORTH SIDE,Barium,65.0,FB17-4.0,4.0,4300.0,FB11-0.0,0.0,16,63000,CHHSL (industrial),0.0683,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 2 - NORTH SIDE,Barium,65.0,FB17-4.0,4.0,4300.0,FB11-0.0,0.0,16,5200,CHHSL (residential),0.8269,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 2 - NORTH SIDE,Lead,1.2,FB14-3.0,3.0,44.0,FB10-0.0,0.0,16,1000,TTLC,0.044,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 2 - NORTH SIDE,Lead,1.2,FB14-3.0,3.0,44.0,FB10-0.0,0.0,16,250,10x STLC,0.176,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 2 - NORTH SIDE,Lead,1.2,FB14-3.0,3.0,44.0,FB10-0.0,0.0,16,320,CHHSL (industrial),0.1375,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 2 - NORTH SIDE,Lead,1.2,FB14-3.0,3.0,44.0,FB10-0.0,0.0,16,80,CHHSL (residential),0.55,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 2 - NORTH SIDE,Strontium,15.0,FB12-4.0,4.0,190.0,FB14-3.0,3.0,16,610000,CHHSL (industrial),0.0003,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 2 - NORTH SIDE,Strontium,15.0,FB12-4.0,4.0,190.0,FB14-3.0,3.0,16,47000,CHHSL (residential) / USEPA RSL,0.004,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 2 - North Side East End,Barium,860.0,PB18-0.0,0.0,1100.0,PB17-0.0,0.0,3,10000,TTLC,0.11,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 2 - North Side East End,Barium,860.0,PB18-0.0,0.0,1100.0,PB17-0.0,0.0,3,1000,10x STLC,1.1,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 2 - North Side East End,Barium,860.0,PB18-0.0,0.0,1100.0,PB17-0.0,0.0,3,63000,CHHSL (industrial),0.0175,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 2 - North Side East End,Barium,860.0,PB18-0.0,0.0,1100.0,PB17-0.0,0.0,3,5200,CHHSL (residential),0.2115,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 2 - SOUTH SIDE,Arsenic,0.25,FB29-4.0,4.0,2.1,FB20-0.0,0.0,24,500,TTLC,0.0042,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 2 - SOUTH SIDE,Arsenic,0.25,FB29-4.0,4.0,2.1,FB20-0.0,0.0,24,50,10x STLC,0.042,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 2 - SOUTH SIDE,Arsenic,0.25,FB29-4.0,4.0,2.1,FB20-0.0,0.0,24,0.24,CHHSL (industrial),8.75,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 2 - SOUTH SIDE,Arsenic,0.25,FB29-4.0,4.0,2.1,FB20-0.0,0.0,24,0.07,CHHSL (residential),30.0,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 2 - SOUTH SIDE,Barium,55.0,FB29-4.0,4.0,1000.0,FB26-0.0,0.0,24,10000,TTLC,0.1,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 2 - SOUTH SIDE,Barium,55.0,FB29-4.0,4.0,1000.0,FB26-0.0,0.0,24,1000,10x STLC,1.0,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 2 - SOUTH SIDE,Barium,55.0,FB29-4.0,4.0,1000.0,FB26-0.0,0.0,24,63000,CHHSL (industrial),0.0159,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 2 - SOUTH SIDE,Barium,55.0,FB29-4.0,4.0,1000.0,FB26-0.0,0.0,24,5200,CHHSL (residential),0.1923,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
