location,analyte,unit,n_analyzed,n_detect,n_nondetect,min_detected,min_detected_date,max_detected,max_detected_date,max_detected_qualifier,max_reporting_limit_nondetect,max_reporting_limit_date,regulatory_limit,limit_type,exceedance_ratio_at_max,exceeds_limit,nondetect_rl_above_limit,source_document
BG2,antimony,ug/L,12,12,0,1.2,4/4/2013,10.0,3/17/2020,,,,6.0,primary MCL,1.667,yes,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG2,arsenic,ug/L,12,3,9,1.1,1/30/2014,1.2,12/4/2019,,1.0,4/4/2013,10.0,primary MCL,0.12,no,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG2,barium,ug/L,12,12,0,20.0,4/4/2013,1700.0,3/17/2020,,,,1000.0,primary MCL,1.7,yes,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG2,beryllium,ug/L,12,0,12,,,,,,0.83,10/28/2016,4.0,primary MCL,,,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG2,cadmium,ug/L,12,2,10,0.12,10/28/2016,0.26,3/17/2020,J,0.5,4/4/2013,5.0,primary MCL,0.052,no,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG2,calcium,mg/L,9,9,0,2.3,10/28/2016,17.0,1/30/2014,,,,,no MCL established,,,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG2,chloride,mg/L,9,9,0,1.2,12/12/2014,8.1,1/30/2014,,,,250.0,secondary MCL,0.032,no,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG2,chromium,ug/L,12,12,0,1.0,12/15/2016,14.0,1/6/2016,,,,50.0,primary MCL,0.28,no,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG2,cobalt,ug/L,12,6,6,0.52,12/4/2019,1.1,1/8/2018,,0.5,4/4/2013,,no MCL established,,,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG2,copper,ug/L,12,12,0,9.4,12/12/2014,52.0,3/17/2020,,,,1300.0,primary MCL,0.04,no,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG2,lead,ug/L,12,5,7,0.79,12/4/2019,13.0,1/8/2018,,1.0,1/30/2014,15.0,primary MCL,0.867,no,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG2,magnesium,mg/L,9,9,0,0.42,10/28/2016,3.1,1/30/2014,,,,,no MCL established,,,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG2,manganese,ug/L,10,10,0,15.0,1/6/2016,70.0,1/8/2018,,,,50.0,secondary MCL,1.4,yes,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG2,mercury,ug/L,12,1,11,0.25,3/17/2020,0.25,3/17/2020,,0.2,4/4/2013,2.0,primary MCL,0.125,no,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG2,molybdenum,ug/L,12,12,0,1.7,12/15/2016,11.0,1/30/2014,,,,,no MCL established,,,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG2,nickel,ug/L,12,12,0,2.0,12/12/2014,8.1,3/17/2020,,,,100.0,primary MCL,0.081,no,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG2,nitrate_as_n,mg/L,11,11,0,0.29,12/4/2019,0.96,2/6/2014,,,,10.0,primary MCL,0.096,no,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG2,potassium,mg/L,9,9,0,1.6,12/12/2014,9.6,1/30/2014,,,,,no MCL established,,,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG2,selenium,ug/L,12,0,12,,,,,,0.5,4/4/2013,50.0,primary MCL,,,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG2,silver,ug/L,12,0,12,,,,,,0.5,4/4/2013,100.0,secondary MCL,,,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG2,sodium,mg/L,9,9,0,1.2,12/12/2014,7.4,1/30/2014,,,,,no MCL established,,,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG2,strontium,ug/L,12,12,0,23.0,10/28/2016,120.0,1/30/2014,,,,,no MCL established,,,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG2,sulfate,mg/L,10,10,0,2.0,10/28/2016,11.0,1/30/2014,,,,250.0,secondary MCL,0.044,no,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG2,sulfide,mg/L,12,4,8,0.023,1/6/2016,0.1,1/30/2014,,0.062,10/28/2016,,no MCL established,,,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG2,thallium,ug/L,12,0,12,,,,,,0.88,10/28/2016,2.0,primary MCL,,,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
