well,date,is_duplicate,is_dry_or_no_sample,arsenic_ugl,barium_ugl,lead_ugl,manganese_ugl,strontium_ugl,nitrate_mgl,notes
MW-2,3/12/2012 S,true,false,<10,89.6,EXCLUDED_LABERR,1.4,642,8.77,footnote 2 on Pb cell = laboratory error in sample prep; duplicate of 3/12/2012
MW-2,5/17/2012,false,false,2.6,89,<1.0,10,700,7.5,
MW-2,7/16/2012,false,false,3.1,100,<1.0,10,740,7.2,
MW-2,9/19/2012,false,false,2.1,88,<1.0,22,650,7.3,
MW-2,11/28/2012,false,false,2.5,84,<1.0,<10,640,7.5,
MW-2,1/22/2013,false,false,2.7,87,<1.0,<10,680,6.9,
MW-2,3/18/2013,false,false,2.6,83,<1.0,<10,580,6.2,
MW-2,6/5/2013,false,false,2.5,84,<1.0,17,620,6.1,
MW-2,9/4/2013,false,false,3.2,85,<1.0,<10,640,9.0,
MW-2,12/11/2013,false,false,2.2,72,<1.0,<20,530,8.9,
MW-2,2/25/2014,false,false,2.5,80,<1.0,<10,570,7.4,
MW-2,6/4/2014,false,false,1.9,86,<1.0,<10,590,9.2,
MW-2,9/16/2014,false,true,,,,,,,No sample collected due to insufficient water in well
MW-2,4/30/2015,false,false,2.2,100,<1.0,<20,760,12,
MW-2,5/2/2016,false,true,,,,,,,No sample collected due to insufficient water in well
MW-2,4/12/2017,false,false,1.9,150,<2.1,1.3,940,24,
MW-2,4/12/2018,false,false,1.8,120,<6.3,16,770,18,
MW-2,4/8/2019,false,false,<4.9,120,<3.6,<32,780,16,
MW-2,,false,false,,,,,,,well decommissioned per table (no date given for decommission row)
MW-3,6/13/2006,false,false,3.0,60,<1.0,4.7,---,5.4,
MW-3,10/5/2006,false,false,3.3,58,<1.0,18,---,5.0,
MW-3,3/12/2012,false,false,<5.0,58,<5.0,<50,390,2.9,
MW-3,3/12/2012 S,true,false,2.1,44.4,EXCLUDED_LABERR,1.8,342,2.24,footnote 2 on Pb cell = laboratory error in sample prep; duplicate of 3/12/2012
MW-3,5/17/2012,false,false,3.8,64,<1.0,<10,490,2.5,
MW-3,7/16/2012,false,false,2.2,240,<1.0,<10,840,2.8,
MW-3,9/19/2012,false,false,4.6,84,<1.0,74,560,3.0,
MW-3,11/28/2012,false,false,4.0,60,<1.0,<10,430,2.8,
MW-3,1/22/2013,false,false,5.5,55,<1.0,<10,430,2.9,
MW-3,3/18/2013,false,false,5.2,43,<1.0,<10,300,2.7,
MW-3,6/6/2013,false,false,4.8,45,<1.0,<10,350,3.3,
MW-3,9/4/2013,false,false,5.8,36,<1.0,<10,260,2.5,
MW-3,12/11/2013,false,false,5.4,34,<1.0,<10,240,2.4,
MW-3,2/25/2014,false,false,5.1,48,<1.0,<10,300,2.8,
MW-3,6/4/2014,false,false,4.5,51,<1.0,<10,300,2.6,
