sample_id,area,boring,depth_interval,analyte,value_raw,unit,value_type,is_nondetect,comment,deeper_than_planned,is_resample,source_table,source_page,source_document
S3 16-0,Stockpile 3 Complete Removal,,,lead,6.7,mg/kg,raw_detection,,Backfill Over Storm Drain Pipe,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S3 17-0,Stockpile 3 Complete Removal,,,barium,77,mg/kg,raw_detection,,,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S3 17-0,Stockpile 3 Complete Removal,,,lead,2.2,mg/kg,raw_detection,,,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S3 18-0,Stockpile 3 Complete Removal,,,barium,240,mg/kg,raw_detection,,,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S3 18-0,Stockpile 3 Complete Removal,,,lead,2.1,mg/kg,raw_detection,,,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S3 19-0,Stockpile 3 Complete Removal,,,barium,89,mg/kg,raw_detection,,,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S3 19-0,Stockpile 3 Complete Removal,,,lead,2.0,mg/kg,raw_detection,,,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S3 20-0,Stockpile 3 Complete Removal,,,barium,74,mg/kg,raw_detection,,,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S3 20-0,Stockpile 3 Complete Removal,,,lead,2.0,mg/kg,raw_detection,,,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S3 21-0,Stockpile 3 Complete Removal,,,barium,62,mg/kg,raw_detection,,,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S3 21-0,Stockpile 3 Complete Removal,,,lead,1.8,mg/kg,raw_detection,,,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S3 22-0,Stockpile 3 Complete Removal,,,barium,140,mg/kg,raw_detection,,,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S3 22-0,Stockpile 3 Complete Removal,,,lead,2.1,mg/kg,raw_detection,,,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S3 23-0,Stockpile 3 Complete Removal,,,barium,180,mg/kg,raw_detection,,,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S3 23-0,Stockpile 3 Complete Removal,,,lead,1.8,mg/kg,raw_detection,,,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S3 24-0,Stockpile 3 Complete Removal,,,barium,180,mg/kg,raw_detection,,,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S3 24-0,Stockpile 3 Complete Removal,,,lead,1.9,mg/kg,raw_detection,,,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S2W 1-0,Stockpile 2 - West End,,,barium,"3,200",mg/kg,raw_detection,,Area Excavated,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,41,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S2W 1-0,Stockpile 2 - West End,,,lead,4.2,mg/kg,raw_detection,,Area Excavated,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,41,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S2W 1A-0,Stockpile 2 - West End,,,barium,140,mg/kg,raw_detection,,,,yes,Table 1 - BCS Removal Verification Soil Sample Analytical Results,41,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S2W 1A-0,Stockpile 2 - West End,,,lead,1.5,mg/kg,raw_detection,,,,yes,Table 1 - BCS Removal Verification Soil Sample Analytical Results,41,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S2W 2-0,Stockpile 2 - West End,,,barium,430,mg/kg,raw_detection,,,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,41,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S2W 2-0,Stockpile 2 - West End,,,lead,2.7,mg/kg,raw_detection,,,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,41,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S2W 3-0,Stockpile 2 - West End,,,barium,"1,100",mg/kg,raw_detection,,Area Excavated,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,41,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S2W 3-0,Stockpile 2 - West End,,,lead,2.1,mg/kg,raw_detection,,Area Excavated,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,41,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S2W 3A-0,Stockpile 2 - West End,,,barium,64,mg/kg,raw_detection,,,,yes,Table 1 - BCS Removal Verification Soil Sample Analytical Results,41,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S2W 3A-0,Stockpile 2 - West End,,,lead,1.7,mg/kg,raw_detection,,,,yes,Table 1 - BCS Removal Verification Soil Sample Analytical Results,41,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S2W 4-0,Stockpile 2 - West End,,,barium,96,mg/kg,raw_detection,,,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,41,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S2W 4-0,Stockpile 2 - West End,,,lead,1.8,mg/kg,raw_detection,,,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,41,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S2W 5-0,Stockpile 2 - West End,,,barium,87,mg/kg,raw_detection,,,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,41,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S2W 5-0,Stockpile 2 - West End,,,lead,2.8,mg/kg,raw_detection,,,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,41,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S2W 6-0,Stockpile 2 - West End,,,barium,89,mg/kg,raw_detection,,,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,41,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S2W 6-0,Stockpile 2 - West End,,,lead,2.6,mg/kg,raw_detection,,,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,41,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S2W 7-0,Stockpile 2 - West End,,,barium,92,mg/kg,raw_detection,,,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,41,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S2W 7-0,Stockpile 2 - West End,,,lead,1.9,mg/kg,raw_detection,,,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,41,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S2W 8-0,Stockpile 2 - West End,,,barium,54,mg/kg,raw_detection,,,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,41,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S2W 8-0,Stockpile 2 - West End,,,lead,1.6,mg/kg,raw_detection,,,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,41,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S2E 1-0,Stockpile 2 - East End,,,barium,100,mg/kg,raw_detection,,---,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,41,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S2E 1-0,Stockpile 2 - East End,,,lead,1.6,mg/kg,raw_detection,,---,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,41,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S2E 2-0,Stockpile 2 - East End,,,barium,690,mg/kg,raw_detection,,---,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,41,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S2E 2-0,Stockpile 2 - East End,,,lead,18,mg/kg,raw_detection,,---,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,41,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S2E 3-0,Stockpile 2 - East End,,,barium,"1,400",mg/kg,raw_detection,,Area Excavated,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,41,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S2E 3-0,Stockpile 2 - East End,,,lead,5.6,mg/kg,raw_detection,,Area Excavated,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,41,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S2E 3A-0,Stockpile 2 - East End,,,barium,570,mg/kg,raw_detection,,---,,yes,Table 1 - BCS Removal Verification Soil Sample Analytical Results,41,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S2E 3A-0,Stockpile 2 - East End,,,lead,3.9,mg/kg,raw_detection,,---,,yes,Table 1 - BCS Removal Verification Soil Sample Analytical Results,41,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S2E 4-0,Stockpile 2 - East End,,,barium,350,mg/kg,raw_detection,,---,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,41,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S2E 4-0,Stockpile 2 - East End,,,lead,3.4,mg/kg,raw_detection,,---,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,41,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S2E 5-0,Stockpile 2 - East End,,,barium,290,mg/kg,raw_detection,,---,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,41,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S2E 5-0,Stockpile 2 - East End,,,lead,35,mg/kg,raw_detection,,---,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,41,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S2E 6-0,Stockpile 2 - East End,,,barium,760,mg/kg,raw_detection,,---,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,41,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
